,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
GENERAL_LIGHTAMMO,LIGHT AMMO,MUNIÇÃO LEVE,BALA LEVE,ЛЕГКИЕ БОЕПРИПАСЫ,LIGHT AMMO,Leichte Munition,MUNITION LEGERE,Munición Ligera,Lehká munice,소형 탄환,LICHTE MUNITIE,MUNIZ. LEGGERE,輕型彈藥,轻型弹药,Amunisi ringan,LEKKA AMUNICJA,KÖNNYŰ TŐLTÉNY,กระสุนปืนเบา,LETT AMMUNISJON,LET SKYTS,,Light Shots,כדורים קלים,LÄTT AMMUNITION,ΕΛΑΦΡΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nhỏ,HAFİF CEPHANE,ذخيرة خفيفة,MUNIÇÃO LEVE,KEVYET AMMUKSET,Леки патрони,LENGVA AMUNICIJA
GENERAL_MEDIUMAMMO,MEDIUM AMMO,MUNIÇÃO MÉDIA,BALA MEDIA,СРЕДНИЕ БОЕПРИПАСЫ,MEDIUM AMMO,Mittlere Munition,MUNITION MOYENNE,Munición Media,Střední munice,중형 탄환,MATIGE MUNITIE,MUNIZ. MEDIE,中型彈藥,中型弹药,Amunisi sedang,ŚREDNIE AMUNICJA,KÖZEPES TÖLTÉNY,กระสุนปืนกลาง,MIDDELS AMMUNISJON,MELLEM SKYTS,,Normal Shots,כדורים בינוניים,MEDIUM AMMUNITION,ΜΕΣΑΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Trung,ORTA CEPHANE,ذخيرة متوسطة,MUNIÇÃO MÉDIA,KESKIRASKAAT AMMUKSET,Средни патрони,VIDUTINĖ AMUNICIJA
GENERAL_HEAVYAMMO,HEAVY AMMO,MUNIÇÃO PESADA,BALA SINISTRA,ТЯЖЕЛЫЕ БОЕПРИПАСЫ,HEAVY AMMO,Schwere Munition,MUNITION LOURDE,Munición Pesada,Těžká munice,대형 탄환,ZWARE MUNITIE,MUNIZ. PESANTI,重型彈藥,重型弹药,Amunisi berat,CIĘŻKA AMUNICJA,NEHÉZ TÖLTÉNY,กระสุนปืนหนัก,TUNGT AMMUNISJON,TUNGT SKYTS,,Big Shots,כדורים כבדים,TUNG AMMUNITION,ΒΑΡΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nặng,AĞIR CEPHANE,ذخيرة ثقيلة,MUNIÇÃO PESADA,RASKAAT AMMUKSET,Тежки Патрони,SUNKI AMUNICIJA
GENERAL_GRENADES,GRENADES,GRANADAS,BOMBA,ГРАНАТЫ,グレネード,Granaten,GRENADES,Granadas,Granát,그레네이드,GRANATEN,GRANATE,手榴彈,手榴弹,Granat,GRANATY,GRÁNÁTOK,ระเบิด,GRANATER,GANATER,,Boomers,רימונים,GRANATER,ΧΕΙΡΟΒΟΜΒΙΔΕΣ,Lựu Đạn,EL BOMBASI,القنابل اليدوية,GRANADAS,KRANAATIT,Гранати,GRANATOS
GENERAL_SHOP_OVERSHIELD,OVERSHIELD,ESCUDO EXTRA,ESCUDÃO,ГИПЕРЩИТ,きょうかシールド,Superschild,Surcharge de bouclier,Escudo extra,Štít,과충전 실드,OVERLAAD SCHILD,SOVRASCUDO,額外護甲,额外护盾,Perisai tambahan,NADTARCZA,HIPERPAJZS,เกราะขนาดใหญ่,EKSTRA SKJOLD,EKSTRA SKJOLD.,,Super Dodge,מגן נוסף,EXTRA SKÖLD,ΥΠΕΡΑΣΠΙΔΑ,Áo Giáp,AĞIR ZIRH,الحماية,ESCUDO EXTRA,YLIKILPI,"Мултищит
",ANTSKYDIS
GENERAL_SHOP_LIGHTAMMO,EXTRA LIGHT AMMO,MUNIÇÃO LEVE EXTRA,BALA LEVE A '+,ДОП ЛЕГКИЕ БОЕПРИПАСЫ,EXTRA LIGHT AMMO,Extra leichte Munition,MUNITION LEGERE EXTRA,Munición Ligera extra,Extra lehká munice,추가 소형 탄환,EXTRA LICHTE MUNITIE,MUNIZ. LEGGERE EXTRA,增量輕型彈藥,增量轻型弹药,Amunisi ringan tambahan,DODATKOWA LEKKA AMUNICJA,EXTRA KÖNNYŰ TÖLTÉNY,กระสุนปืนเบา,EKSTRA LETT AMMO,EKSTRA LET SKYTS,,More Light Shots,עוד כדורים קלים,EXTRA LÄTT AMMUNITION,ΕΠΙΠΛΕΟΝ ΕΛΑΦΡΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nhỏ Viện Trợ,FAZLADAN HAFİF CEPHANE,ذخيرة خفيفة إضافية,MUNIÇÃO LEVE EXTRA,EKSTRAKEVYET AMMUKSET,Леки патрони,PAPILDOMA LENGVA AMUNICIJA
GENERAL_SHOP_MEDIUMAMMO,EXTRA MEDIUM AMMO,MUNIÇÃO MÉDIA EXTRA,MAIS BALA MEDIA,ДОП СРЕДНИЕ БОЕПРИПАСЫ,EXTRA MEDIUM AMMO,Extra mittlere Munition,MUNITION MOYENNE EXTRA,Munición Media extra,Extra střední munice,추가 중형 탄환,EXTRA MATIGE MUNITIE,MUNIZ. MEDIE EXTRA,增量中型彈藥,增量中型弹药,Amunisi sedang tambahan,DODATKOWA ŚREDNIA AMUNICJA,EXTRA KÖZEPES TÖLTÉNY,กระสุนปืนกลาง,EKSTRA MIDDELS AMMO,EKSTRA MELLEM SKYTS,,More Normal Shots,עוד כדורים בינוניים,EXTRA MEDIUM AMMUNITION,ΕΠΙΠΛΕΟΝ ΜΕΣΑΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Trung Viện Trợ,FAZLADAN ORTA CEPHANE,ذخيرة متوسطة إضافية,MUNIÇÃO MÉDIA EXTRA,EKSTRAKESKIRASKAAT AMMUKSET,Средни патрони,PAPILDOMA VIDUTINĖ AMUNICIJA
GENERAL_SHOP_HEAVYAMMO,EXTRA HEAVY AMMO,MUNIÇÃO PESADA EXTRA,'+ BALA SINISTRA,ДОП ТЯЖЕЛЫЕ БОЕПРИПАСЫ,EXTRA HEAVY AMMO,Extra schwere Munition,MUNITION LOURDE EXTRA,Munición Pesada extra,Extra těžká munice,추가 대형 탄환,EXTRA ZWARE MUNITIE,MUNIZ. PESANTI EXTRA,增量重型彈藥,增量重型弹药,Amunisi berat tambahan,DODATKOWA CIĘŻKA AMUNICJA,EXTRA NEHÉZ TÖLTÉNY,กระสุนปืนหนัก,EKSTRA TUNGT AMMO,EKSTRA TUNGT SKYTS,,More Big Shots,עוד כדורים כבדים,EXTRA TUNG AMMUNITION,ΕΠΙΠΛΕΟΝ ΒΑΡΙΑ ΠΥΡΟΜΑΧΙΚΑ,Đạn Nặng Viện Trợ,FAZLADAN AĞIR CEPHANE,ذخيرة ثقيلة إضافية,MUNIÇÃO PESADA EXTRA,EKSTRARASKAAT AMMUKSET,Тежки Патрони,PAPILDOMA SUNKI AMUNICIJA
GENERAL_SHOP_GRENADES,MORE GRENADES,GRANADAS EXTRAS,MAIS BOMBA,БОЛЬШЕ ГРАНАТ,ついか グレネード,Mehr Granaten,GRENADES EN PLUS,Más Granadas,Extra granáty,그레네이드 추가,MEER GRANATEN,PIÙ GRANATE,更多手榴彈,更多手榴弹,Granat lebih,WIĘCEJ GRANATÓW,MÉGTÖBB GRÁNÁT,ระเบิด,FLERE GRANATER,FELERE GRANATER,,More Boomers,עוד רימונים,FLER GRANATER,ΠΕΡΙΣΣΟΤΕΡΕΣ ΧΕΙΡΟΒΟΜΒΙΔΕΣ,Lựu Đạn Viện trợ,DAHA FAZLA EL BOMBASI,قنابل أكثر,GRANADAS EXTRA,LISÄÄ KRANAATTEJA,Още Гранати,DAUGIAU GRANATŲ
GENERAL_SHOP_RELIC,PIECE OF A RELIC,FRAGMENTO DE RELÍQUIA,PEDAÇO DE LEMBRANÇA,ЧАСТЬ РЕЛИКВИИ,いぶつの かけら,Stück von einem Relikt,MORCEAU DE RELIQUE,Pieza de una reliquia,Kousek relikvie,PIECE OF A RELIC,GEDEELTE VAN EEN RELIKWIE,PEZZO DI RELIQUIA,PIECE OF A RELIC,遗迹残块,PIECE OF A RELIC,FRAGMENT RELIKTU,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,PIECE OF A RELIC,חלק מפסל,PIECE OF A RELIC,ΚΟΜΜΑΤΙ ΕΝΟΣ ΚΕΙΜΗΛΙΟΥ,PIECE OF A RELIC,YADİGARIN BİR PARÇASI,قطعة أثرية,PIECE OF A RELIC,PIECE OF A RELIC,Парче от Реликва,Relikvijos dalis
GENERAL_TELEPORTER_STAGE,STAGE:,FASE:,FAZE:,УРОВЕНЬ:,ステージ:,Level:,NIVEAU:,Nivel:,Úroveň:,스테이지:,NIVEAU:,LIVELLO:,階段：,关卡：,,POZIOM:,SZINT:,ด่าน,NIVÅ,ETAGE,,Ocean:,שלב:,NIVÅ,ΠΙΣΤΑ:,Màn :,BÖLÜM:,المرحلة:,NÍVEL:,TASO:,НИВО,LYGIS
GENERAL_DODGE,DODGE,ESQUIVA,ERROU,УВОРОТ,ドッジ,Ausweichen,ESQUIVE,Esquivar,Vyhnutí,회피,ONTWEKEN,SCHIVA,閃避,闪避,Menghindari,UNIK,KITÉRÉS,หลบ,DUKK,UNDVIG,,Missed,התחמקות!,UNDVIK,ΑΠΟΦΥΓΗ,Né Tránh,YANA KAÇMA,راوغ,DESVIAR,VÄISTÖ,Избягване,IŠVENGTI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPS_FIRSTDEATH,YOU KEEP ALL OF YOUR UNLOCKS,VOCÊ MANTÉM TUDO QUE DESTRAVAR,VC FICA COM AS TRAQUITANA TUDO,ВЫ СОХРАНЯЕТЕ ВСЁ ЧТО ОТКРЫЛИ,,Du behältst alle deine Freischaltungen.,VOUS CONSERVEZ CE QUE VOUS AVEZ DÉBLOQUÉ,Mantendrás todo lo que ya has desbloqueado,,,JE BEHOUD ALLES WAT JE ONTRGENDELD HEBT,,,你留着你的所有解锁,,Zachowujesz odblokowane przez siebie predmioty,,,,,,,אתה שומר את כל מה שפתחת,DU BEHÅLLER ALLT DU LÅSER UPP,ΚΡΑΤΑΤΕ ΟΤΙ ΕΧΕΤΕ ΞΕΚΛΕΙΔΩΣΕΙ,,,إحتفظ بجميع الأشياء التي فتحتها,,,Запази Всички Отключаеми,Išsaugai visus savo atsidarymus
TIPS_DIG,"WHEN LOOKING FOR TREASURE, PAY ATTENTION TO THE PROXIMITY ALERTS","AO PROCURAR TESOURO, PRESTE ATENÇÃO NOS ALERTAS DE PROXIMIDADE",QNDO TIVER CAÇANO LEMBRANÇA. PRESTENÇÃO NO RADAR Ô ANTA,"ВО ВРЕМЯ ПОИСКА
 СОКРОВИЩА, ОБРАЩАЙТЕ 
ВНИМАНИЕ
 НА СИГНАЛЫ СБЛИЖЕНИЯ",,"Wenn du nach Schätzen suchst, achte auf deine Annäherungswarnungen.","QUAND VOUS CHERCHEZ UN TRÉSOR, VÉRIFIEZ LES ALERTES DE PROXIMITÉ","Cuando buscas un tesoro, presta atención a las alertas de aproximación",,,,,,当寻找宝藏时，警惕附近的警报,,"Gdy szukasz skarbów, zwracaj uwagę na sygnał zbliżeniowy.",,,,,,,"כשאתה מחפש אוצר, שם לב לעזאקות בקירוב.","NÄR DU LETAR EFTER SKATTER, HÅLL KOLL PÅ NÄRHETSLARMEN","ΟΤΑΝ ΨΑΧΤΕΤΕ ΓΙΑ ΘΗΣΑΥΡΟ, ΠΡΟΣΕΧΕΤΕ ΓΙΑ ΚΙΝΔΥΝΟΥΣ ΕΓΓΥΤΗΤΑΣ",,,"عندما تبحث عن الكنوز, انتبه لتبيه الاقتراب",,,"Когато Търсите за Съкровища, Внимавайте с линиите.",Kai ieškai lobio kreipk dėmesį į artumo rodiklius
TIPS_RELIC,YOU MUST EQUIP YOUR RELICS ON THE SHIP BEFORE USING THEM,VOCÊ DEVE EQUIPAR SUAS RELÍQUIAS NA NAVE ANTES DE USÁ-LAS,TEM QUE EQUIPAR AS LEMBRANÇA NO AVIÃO ANTES DE USAR Ô KKK,ДЛЯ ИСПОЛЬЗОВАНИЯ РЕЛИКВИИ ВЫ ДОЛЖНЫ ЭКИПИРОВАТЬ ЕЕ НА КОРАБЛЕ,,"Du musst deine Relikte auf dem Schiff ausrüsten, bevor du sie benutzen kannst.","VOUS DEVEZ ÉQUIPER VOUS RELIQUES AU VAISSEAU AVANT DE LES UTILISER
",Debes equipar tus reliquias abordo de la nave antes de poder usarlas,,,JE MOET JE UITRUSTEN MET JE RELIKWIËN OP HET SCHIP VOORDAT JE ZE GEBRUIKT. ,,,在使用遗迹之前，你必须先要将它们在船上组装起来,,Musisz wyposażyć się w relikty na statku zanim ich użyjesz,,,,,,,אתה חייב לחמוש את כל הפסלים שלך בספינה לפני שאתה משתמש בהם,DU MÅSTE UTRUSTA DIG MED DINA RELIKER PÅ SKEPPET INNAN DU KAN ANVÄNDA DEM,ΠΡΕΠΕΙ ΝΑ ΕΞΟΠΛΗΣΕΤΕ ΤΑ ΚΕΙΜΗΛΙΑ ΣΑΣ ΣΤΟ ΠΛΟΙΟ ΠΡΙΝ ΤΑ ΧΡΗΣΙΜΟΠΟΙΗΣΕΤΕ,,,يجب عليك ان تضع الاثار في سفينتك قبل ان تستخدمهم,,,Трябва да добавите реликвите в базата преди да ги използвате,Turi pasirinkt relikvijas laive prieš naudodamas jas
TIPS_TITLE,HINT,DICA,SE LIGA,СОВЕТ,,Hinweise,INDICE,PISTA,Nápověda,,HINT,,,提示,,Wskazówka,,,,,,,רמזים,TIPS,ΒΟΗΘΗΜΑΤΑ,,,تلميح,,,Подзкаска,patarimas
TIPS_RANDOM1,"USE COVER, WAIT FOR YOUR SHIELDS TO REGENERATE","USE COBERTURA, ESPERE ATÉ QUE SEUS ESCUDOS SE RECUPEREM",PARA DE MORRER,ИСПОЛЬЗУЙТЕ УКРЫТИЕ ДЛЯ РЕГЕНЕРАЦИИ ЩИТА,,Nutze Deckung und warte bis deine Schilde sich regeneriert haben.,"UTILISEZ LA COUVERTURE, ATTENDEZ LA RÉGÉNÉRATION DE VOS BOUCLIERS",Encuentra cubierta y espera hasta que tu escudo se regenere	,,,"GEBRUIK SCHUILPLAATSEN, WACHT TODAT JE SCHILD GEREGENEREED IS.",,,使用掩体，等待你的护盾重新恢复,,Znajdź osłonę i zaczekaj na regenerację tarczy,,,,,,,"תשתמש במחסה, חכה שהמגן שלך יתרפה.",,"ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΚΑΛΥΨΗ, ΠΕΡΙΜΕΝΕΤΕ ΤΙΣ ΑΣΠΙΔΕΣ ΣΑΣ ΝΑ ΞΑΝΑΓΕΜΙΣΟΥΝΕ",,,"استخدم الغطاء, وانتظر درعك ليتجدد",,,Прикривайте се докато чакате щитът ви да регенерира,"Naudok objektus, palauk kol atsinaujins skydas"
TIPS_RANDOM2,AIM WITH THE LASER SIGHTS BEFORE SHOOTING,USE A MIRA LASER ANTES DE ATIRAR,DESISTE LOGO NB KKKK,"СТАРАЙТЕСЬ 
ПРИЦЕЛИВАТЬСЯ (ПКМ)
 ПЕРЕД СТРЕЛЬБОЙ",,"Nutze dein Laser Visier zum zielen, bevor du schießt.",VISEZ AVEC LE LASER AVANT DE TIRER,Apunta con la mira láser antes de disparar,,,RICHT MET DE LAZER VOORDAT JE SCHIET,,,射击前使用激光瞄准器来瞄准,,"Zanim wystrzelisz, wyceluj za pomocą celownika laserowego",,,,,,,כוון עם הלייזר לפני ירי,,ΣΗΜΑΔΕΨΤΕ ΜΕ ΤΟ ΛΕΪΖΕΡ ΠΡΙΝ ΠΥΡΟΒΟΛΗΣΕΤΕ,,,,,,Прицелете се с Лазера преди да стреляте.,"Nusitaikyk, paskiau šauk"
TIPS_RANDOM3,THE LASER SIGHT INDICATES YOUR EFFECTIVE RANGE,A MIRA LASER INDICA SEU ALCANCE EFETIVO,"MIRAR PRA Q, SAI ATIRANDO LOGO","ЛАЗЕРНЫЙ
 ЦЕЛЕУКАЗАТЕЛЬ
 ПОКАЗЫВАЕТ 
РАССТОЯНИЕ 
ЭФФЕКТИВНОЙ СТРЕЛЬБЫ",,Dein Laser Visier zeigt dir deine Effektive Reichweite.,LE POINTEUR LASER INDIQUE VOTRE PORTÉE EFFICACE,La mira láser indica tu rango efectivo,,,DE LAZER LAAT ZIEN TOT WAAR JE SCHOTEN EFFECTIEF ZIJN,,,激光瞄准器能显示你枪支的有效射程,,Celownik laserowy pokazuje efektywny zasięg broni,,,,,,,כוונת הלייזר מסמנת את המרחק של האפקטיביוט,,ΤΟ ΛΕΪΖΕΡ ΔΕΙΧΝΕΙ ΤΗΝ ΑΠΟΤΕΛΕΣΜΑΤΙΚΗ ΑΠΟΣΤΑΣΗ,,,,,,Лазерът индикира дълекобойноста на оръжието ви,Lazeris nusako efektyvų šaudimo atstumą
TIPS_RANDOM4,HIT ENEMIES IN THE CENTER FOR PRECISION DAMAGE,ACERTE INIMIGOS NO CENTRO PARA CAUSAR DANO DE PRECISÃO,DA TIRO NOS BONECO Q ELES MORRE,"ПОПАДАНИЕ ТОЧНО
 В ПРОТИВНИКА 
НАНОСИТ 
ДОПОЛНИТЕЛЬНЫЙ УРОН",,Triff Feinde in der Mitte für Präzisions Schaden.,TOUCHEZ LES ENNEMIS EN LEUR CENTRE POUR DES DÉGÅTS DE PRÉCISION,Golpea a tus oponentes en el centro para causar daño de precision,,,RAAK VIJANDEN IN HET MIDDEN VOOR PRECIEZE SCHADE,,,击中敌人的中央获得精准伤害,,Trafiaj przeciwników w środek dla wiekszych obrażeń,,,,,,,פגע באויבים במרכז בשביל פגיעה/נזק מדויק,,ΧΤΥΠΗΣΤΕ ΤΟΥΣ ΕΧΘΡΟΥΣ ΣΤΟ ΚΕΝΤΡΟ ΓΙΑ ΖΗΜΙΑ ΑΚΡΙΒΕΙΑΣ,,,,,,Оцелете противниците си в центъра за повече щети,Šauk į priešo centrą didesniai žalai
TIPS_RANDOM5,YOU CAN EQUIP UP TO 3 RELICS AT THE SAME TIME,VOCÊ PODE EQUIPAR ATÉ 3 RELÍQUIAS AO MESMO TEMPO,AS LEMBRANÇA SÃO OP PKARAIO,ВЫ МОЖЕТЕ ИСПОЛЬЗОВАТЬ ДО ТРЁХ РЕЛИКВИЙ ОДНОВРЕМЕННО,,Du kannst bis zu 3 Relikte gleichzeitig ausrüsten.,VOUS POUVEZ ÉQUIPER JUSQU'A 3 RELIQUES A LA FOIS,Puedes equipar hasta 3 reliquias al mismo tiempo,,,JE KAN JE MET MAXIMAAL 3 RELIKWIËN UITRUSTEN,,,你一次最多能装备三个遗迹,,Możesz jednocześnie wyposażyć się w 3 relikty,,,,,,,אתה יכול לחמוש עד ל3 פסלים באותו הזמן,,ΜΠΟΡΕΙΤΕ ΝΑ ΕΞΟΠΛΙΣΕΤΕ ΜΕΧΡΙ 3 ΚΕΙΜΗΛΙΑ ΤΑΥΤΟΧΡΟΝΑ,,,,,,Може да използвате до 3 реликви по едно и също време,Vienu metu gali būt pasirinkęs tris relikvijas
TIPS_RANDOM6,EACH STAGE HAS A LIMITED SELECTION OF ITEMS AND RELICS TO UNLOCK,CADA FASE TEM UMA SELEÇÃO LIMITADA DE ITEMS E RELÍQUIAS PARA DESTRAVAR,C VAI PERDER UM TEMPÃO DESTRAVANO TUDO KKKK NERD,"КАЖДЫЙ УРОВЕНЬ
ИМЕЕТ СВОЙ НАБОР 
ПРЕДМЕТОВ И 
РЕЛИКВИЙ ДЛЯ 
ОТКРЫТИЯ",,Jedes Level hat nur eine bestimmte Anzahl an Gegenständen und Relikten die Freigeschaltet werden können.,CHAQUE STAGE A UN CERTAIN NOMBRE D'OBJETS ET RELIQUES À DÉBLOQUER,Cada nivel tiene un número limitado de objetos y reliquias para desbloquear,,,ELK LEVEL HEEFT EEN GELIMITEERDE HOEVEELHEID ITEMS EN RELIKWIËN DIE JE KAN ONTGRENDELEN,,,,,Każdy poziom posiada ograniczony wybór przedmiotów i reliktów do odblokowania,,,,,,,לכל שלב יש בחירה מוגבלת של חפצים ופסלים לפתוח,,ΚΑΘΕ ΠΙΣΤΑ ΕΧΕΙ ΠΕΡΙΟΡΙΣΜΕΝΟ ΑΡΙΘΜΟ ΑΝΤΙΚΕΙΜΕΝΩΝ ΚΑΙ ΚΕΙΜΗΛΙΩΝ ΓΙΑ ΝΑ ΞΕΚΛΕΙΔΩΣΕΤΕ,,,,,,Всяка група нива има лимитирана селекция от предмети за отключване,Kiekvienas scenarijus turi apribotą daigtų ir relikvijų skaičių
TIPS_RANDOM7,UNLOCK EVERYTHING FROM A STAGE BEFORE FOCUSING ON THE NEXT,DESTRAVE TUDO DE UMA FASE ANTES DE FOCAR NA PRÓXIMA,VAI JOGA SEU LOLZINHO VAI HUEAHSEUAHS,"РАЗБЛОКИРУЙТЕ 
ВСЁ НА УРОВНЕ
 ПЕРЕД ПРОХОЖДЕНИЕМ 
СЛЕДУЮЩЕГО",,"Schalte alles in einem Level frei, bevor du dich auf das nächste konzentrierst.",DÉBLOQUE TOUS LES OBJETS D'UN NIVEAU AVANT DE TE CONCENTRER SUR LES AUTRES,"Las granadas son las mejores armas en el juego, utilizalas sabiamente",,,VERGENDEL ALLES VAN EEN LEVEL VOORDAT JE JE OP DE VOLGENDE STORT,,,,,Odblokuj wszystko w poziomie zanim skupisz się na kolejnym,,,,,,,,,ΞΕΚΛΕΙΔΩΣΤΕ ΤΑ ΠΑΝΤΑ ΑΠΟ ΜΙΑ ΠΙΣΤΑ ΠΡΙΝ ΕΠΙΚΕΝΤΡΩΘΕΙΤΕ ΣΤΗΝ ΕΠΟΜΕΝΗ,,,,,,"Отклчи всики предмети от прървата група нива преди да се фокусираш на следващатата
","Atidartk viską vienam scenarijus, o tik tada judėk į kitą"
TIPS_RANDOM8,DON'T FORGET TO BUY THE CHECKPOINTS AT THE SHIP,NÃO SE ESQUEÇA DE COMPRAR OS ATALHOS NA NAVE,DOTEIRO N SABE JOGA ESSE JOGO N KKK,НЕ ЗАБЫВАЙТЕ ПОКУПАТЬ ТЕЛЕПОРТЫ НА КОРАБЛЕ,,Vergiss nicht dir die Checkpoints auf dem Schiff zu kaufen.,N'OUBLIE PAS D'ACHETER LES CHECKPOINTS DANS LE VAISSEAU,No olvides desbloquear los puntos de control en la nave,,,VERGEET NIET DE CHECKPOINTS OP HET SCHIP TE KOPEN,,,别忘了在船上购买检查点,,Nie zapomnij o kupieniu punktów kontrolnych na statku,,,,,,,,,ΜΗΝ ΞΕΧΑΣΕΤΕ ΝΑ ΑΓΟΡΑΣΕΤΕ ΤΑ ΣΗΜΕΙΑ ΑΣΦΑΛΕΙΑΣ ΣΤΟ ΠΛΟΙΟ,,,,,,Незабравяите да купите всичките контролни точки в базата,Nepamiršk nusipirkti išsaugojimo vietas laive
TIPS_RANDOM9,MONSTERS AND DUCANS FIGHT EACH OTHER. USE THAT.,MONSTROS E DUCANS LUTAM UNS CONTRA OS OUTROS. USE ISSO.,SE OS BICHO ATIRA NO TEU BONECO ELE MORRE,ПРОТИВНИКИ ДЕРУТСЯ МЕЖДУ СОБОЙ. РАЗВЛЕКАЙТЕСЬ.,,"Monster und Ducaner bekämpfen sich, du sollttest dies ausnutzen.",MONSTRES ET DUCANS SE COMBATTENT ENTRE EUX. PROFITES-EN !,"Los monstruos y los Ducans pelean entre ellos, utiliza eso a tu favor",,,MONSTERS EN DUCANS BEVECHTEN ELKAAR. MAAK DAAR GEBRUIK VAN,,,怪物和Ducans会互相攻击。这一点特性可以加以利用。,,Potwory i dukany walczą ze sobą. Wykorzystaj to.,,,,,,,,,ΤΑ ΤΕΡΑΤΑ ΚΑΙ ΟΙ ΠΑΠΙΟΙ ΠΟΛΕΜΟΥΝΕ ΜΕΤΑΞΥ ΤΟΥΣ. ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΤΟ ΠΡΟΣ ΟΦΕΛΟΣ ΣΑΣ.,,,,,,Чудовищата и Дуканците се бият един срещу друг може да използвате това,"Monstrai ir DUCAN kovoja vienas prieš kita, panaudok tai"
TIPS_RANDOM10,"GRENADES ARE THE BEST WEAPON IN THE GAME, USE THEM WISELY","GRANADAS SÃO A MELHOR ARMA DO JOGO, USE-AS COM CUIDADO","Ô NB, N ESQUECE DE TACAR AS BOMBA VIU KKK",ГРАНАТЫ - ЛУЧШЕЕ ОРУЖИЕ В ИГРЕ. ИСПОЛЬЗУЙТЕ ИХ С УМОМ.,,"Granaten sind die besten Waffen im Spiel, nutze sie weise.","LES GRENADES SONT LES MEILLEURS ARMES DU JEU, UTILISE-LES PRUDEMMENT","Las granadas son las mejores armas en el juego, utilizalas sabiamente.",,,"GRANATEN ZIJN DE BESTE WAPENS IN HET SPEL, GEBRUIK ZE VERSTANDIG",,,,,"Granaty to najlepsza broń w grze, używaj ich rozważnie",,,,,,,,,ΟΙ ΧΕΙΡΟΒΟΜΒΙΔΕΣ ΕΙΝΑΙ ΤΟ ΚΑΛΥΤΕΡΟ ΟΠΛΟ ΣΤΟ ΠΑΙΧΝΙΔΙ. ΧΡΗΣΙΜΟΠΟΙΗΣΤΕ ΤΕΣ ΜΕ ΣΟΦΙΑ.,,,,,,"Гранатите са най-силното уръжие в игарта, използвайте ги разумно!
","Granatos yra geriausias ginklas žaidime, naudok jas su išmintim"
TIPS_ENDLESS1,PRECISION KILLS AND KILL STREAKS GIVE YOU MORE BOUNTY,MORTES EM PRECISÃO OU EM SEQUÊNCIA DÃO MAIS RECOMPENSAS,,ТОЧНЫЕ И МНОЖЕСТВЕННЫЕ УБИЙСТВА ДАЮТ БОЛЬШЕ ЛУТА,,"Präzisions Kills und Kill Serien, werden besser Belohnt.",LES TIRS PRÉCIS ET COMBOS DONNENT PLUS DE PRIME,Bajas precisas y rachas de asesinatos proporcionan botín extra,,,PRECIEZE KILLS EN KILL STREAKS GEVEN JE MEER PREMIE,,,,,Precyzyjne zabójstwa i łańcuchy zabójstw dają ci więcej punktów,,,,,,,,,ΕΞΟΛΟΘΡΕΥΣΕΙΣ ΑΚΡΙΒΕΙΑΣ ΚΑΙ ΑΠΑΝΩΤΕΣ ΕΞΟΛΟΘΡΕΥΣΕΙΣ ΣΑΣ ΔΙΝΟΥΝΕ ΠΕΡΙΣΣΟΤΕΡΗ ΑΜΟΙΒΗ,,,,,,Точните обииства и поредиците ви дават повече пари,"Taiklumas nužudo, o nužudimo kombo duoda daugiau premijos"
